FlowID,App,AppCategory,Category,Broad Category,Domain,Third_party,App_HOST,HOST1,HOST2,HOST3,HOST4,HOST5
1,Amazon,Shopping,,,,,Amazon_,NA,,,,
2,American Well,Medical,,,,,American Well_,NA,,,,
3,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
4,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
5,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
6,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
7,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
8,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
9,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
10,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
11,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
12,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
13,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
14,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
15,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
16,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
17,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
18,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
19,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,files,beonroad,com,,
20,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,files,beonroad,com,,
21,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
22,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
23,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
24,BE-ON-ROAD,Travel & Local,Post,Behavior,beonroad.com,,BE-ON-ROAD_beonroad.com,updates,beonroad,com,,
25,Box,Business,,,,,Box_,NA,,,,
26,Bubble Witch 2,Games,,,,,Bubble Witch 2_,NA,,,,
27,Candy Crush,Games,,,,,Candy Crush_,NA,,,,
28,Don't Tap White Tile,Games,,,,,Don't Tap White Tile_,NA,,,,
29,Drugs.com,Medical,,,,,Drugs.com_,NA,,,,
30,eBay,Shopping,,,,,eBay_,NA,,,,
31,Emoji Android Keyboard,Social,,,,,Emoji Android Keyboard_,NA,,,,
32,Emoji Keyboard,Social,,,,,Emoji Keyboard_,NA,,,,
33,Epocrates,Medical,,,,,Epocrates_,NA,,,,
