State,Breaches,Population,BreachesPerMillion
Mississippi,21,2984100,7.037297677691766
Ontario,7,N/A,N/A
South Dakota,7,869666,8.04906711312159
Oklahoma,35,3930864,8.903894919793714
Wyoming,8,579315,13.809412841027767
Minnesota,78,5576606,13.987002129969376
Illinois,153,12802023,11.95123614447498
District Of Columbia,53,N/A,N/A
Arkansas,31,3004279,10.318615548023336
New Mexico,24,2088070,11.493867542754792
Indiana,96,6666818,14.399673127420009
Maryland,284,6052177,46.92526342174064
Louisiana,28,4684333,5.977371805121455
Argentina,1,N/A,N/A
Texas,292,28304596,10.316345797693067
Tokyo,1,N/A,N/A
Iowa,35,3145711,11.126260486103142
Arizona,69,7016270,9.834285168615233
Wisconsin,54,5795483,9.317601311228072
Berlin,1,N/A,N/A
Michigan,69,9962311,6.926103792583869
Kansas,31,2913123,10.641500547694005
Utah,32,3101833,10.316480610013498
Virginia,89,8470020,10.507649332587171
Oregon,63,4142776,15.207194402980031
Connecticut,58,3588184,16.164165494300182
Montana,14,1050493,13.327075953861662
California,756,39536653,19.1214972091846
Massachusetts,102,6859819,14.869196986101237
Cheshire,1,N/A,N/A
West Virginia,8,1815857,4.4056332629716985
South Carolina,32,5024369,6.36895896778282
New Hampshire,20,1342795,14.89430627906717
Buckinghamshire,2,N/A,N/A
Vermont,7,623657,11.22411838558695
Georgia,111,10429379,10.643011439127871
North Dakota,5,755393,6.619071132509832
Hawaii,10,1427538,7.005067465804763
Pennsylvania,136,12805537,10.620405844752938
Dublin,1,N/A,N/A
Puerto Rico,12,3337177,3.5958536211894065
Florida,212,20984400,10.10274299003069
Alaska,12,739795,16.220709791225946
Kentucky,62,4454189,13.919481189504982
Tennessee,85,6715984,12.656373213515696
Nebraska,12,1920076,6.249752613959031
Missouri,70,6113532,11.450009585293738
Ohio,118,11658609,10.121276045881633
Alabama,45,4874747,9.231248308886594
Rhode Island,21,1059639,19.81807011633207
Beijing,1,N/A,N/A
Guangdong,1,N/A,N/A
Colorado,76,5607154,13.554113191826014
Idaho,10,1716943,5.824305174953391
New Jersey,68,9005644,7.550820352214678
Grand Bahama,1,N/A,N/A
Washington,104,7405743,14.043155426808626
North Carolina,88,10273419,8.565794892625329
British Columbia,3,N/A,N/A
New York,266,19849399,13.400909518721448
London,1,N/A,N/A
Quebec,3,N/A,N/A
Nevada,30,2998039,10.006540942262593
Delaware,9,961939,9.356102621891825
Maine,14,1335907,10.4797714212142
