"company_name","cat_id","cat_name","entity","records","state","org_id","date","source","type"
"Dean Health Plan",28,"Discharge Data","MED",1311,"Wisconsin",200003106,2018-06-15,"US Department of Health and Human Services","DISC"
"HealthEquity, Inc.",28,"Discharge Data","MED",16000,"Utah",200003107,2018-06-12,"US Department of Health and Human Services","HACK"
"Ticketfly",15,"Employer","BSR",2.7e+07,"California",200003097,2018-06-12,"Media","HACK"
"PageUp",17,"Payer (Insurer)","BSO",2e+06,"",200003099,2018-06-12,"Media","HACK"
"Facebook, inc.",17,"Payer (Insurer)","BSR",3e+06,"California",200003102,2018-06-12,"Media","DISC"
"Terros Health",18,"Physician, Hospital","MED",1600,"Arizona",200003100,2018-06-12,"Media","DISC"
"Nuance Communications",18,"Physician, Hospital","BSO",45000,"California",200003101,2018-06-12,"Media","INSD"
"University at Buffalo",29,"Researcher","EDU",2500,"New York",200003104,2018-06-12,"Media","HACK"
"New England Baptist Health",28,"Discharge Data","MED",7582,"Massachusetts",200003108,2018-06-08,"US Department of Health and Human Services","DISC"
"Massac County Surgery Center dba Orthopaedic Institute Surgery Center",29,"Researcher","MED",2000,"Illinois",200003109,2018-06-08,"US Department of Health and Human Services","HACK"
"RISE Wisconsin, Inc.",28,"Discharge Data","MED",3731,"Wisconsin",200003088,2018-06-07,"US Department of Health and Human Services","HACK"
"Benefit Outsourcing Solutions",28,"Discharge Data","MED",1144,"Michigan",200003110,2018-06-07,"US Department of Health and Human Services","DISC"
"MyHeritage",17,"Payer (Insurer)","BSO",92283900,"",200003098,2018-06-04,"Media","DISC"
"University of Utah Health",29,"Researcher","MED",607,"Utah",200003089,2018-06-02,"US Department of Health and Human Services","PHYS"
"Capitol Anesthesiology Association",28,"Discharge Data","MED",2231,"Texas",200003090,2018-06-01,"US Department of Health and Human Services","HACK"
"Florida Agency for Persons with Disabilities",28,"Discharge Data","MED",1951,"Florida",200003111,2018-06-01,"US Department of Health and Human Services","DISC"
"SimplyWell",28,"Discharge Data","MED",597,"Texas",200003112,2018-06-01,"US Department of Health and Human Services","DISC"
"Farmgirl Flowers, Inc.",17,"Payer (Insurer)","BSR",500,"California",200003085,2018-06-01,"Security Breach Letter","HACK"
"PumpUp, inc.",17,"Payer (Insurer)","BSR",6e+06,"Ontario",200003087,2018-06-01,"Media","DISC"
"Worldwide Services Insurance Agency, LLC",23,"Public Health","MED",500,"",200003078,2018-06-01,"Security Breach Letter","HACK"
"Dignity Health",28,"Discharge Data","MED",55947,"California",200003091,2018-05-31,"US Department of Health and Human Services","DISC"
"Dino-Peds",28,"Discharge Data","MED",1357,"Colorado",200003092,2018-05-30,"US Department of Health and Human Services","DISC"
"Aflac",28,"Discharge Data","MED",10396,"Georgia",200003093,2018-05-29,"US Department of Health and Human Services","HACK"
"Care Partners Hospice and Palliative Care",28,"Discharge Data","MED",600,"Oregon",200003094,2018-05-25,"US Department of Health and Human Services","HACK"
"Aultman Hospital",28,"Discharge Data","MED",42625,"Ohio",200003095,2018-05-25,"US Department of Health and Human Services","HACK"
"BioIQ Inc.",28,"Discharge Data","MED",4059,"California",200003096,2018-05-25,"US Department of Health and Human Services","DISC"
"The Trustees of Purdue University",29,"Researcher","MED",1711,"Indiana",200003042,2018-05-25,"US Department of Health and Human Services","HACK"
"T-Mobile",17,"Payer (Insurer)","BSR",7.4e+07,"",200003086,2018-05-24,"Media","DISC"
"Golden 1 Credit Union",17,"Payer (Insurer)","BSF",500,"California",200003076,2018-05-22,"Security Breach Letter","HACK"
"Muir Medical Group, IPA. Inc.",23,"Public Health","MED",500,"California",200003077,2018-05-22,"Security Breach Letter","PHYS"
"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale",28,"Discharge Data","MED",1765,"Arizona",200003043,2018-05-21,"US Department of Health and Human Services","PHYS"
"TeenSafe",17,"Payer (Insurer)","BSR",10200,"California",200003105,2018-05-20,"Media","DISC"
"Holland Eye Surgery and Laser Center",46,"Dental and Vision","MED",42200,"Michigan",200003044,2018-05-18,"US Department of Health and Human Services","HACK"
"Associates in Psychiatry and Psychology",28,"Discharge Data","MED",6546,"Minnesota",200003045,2018-05-18,"US Department of Health and Human Services","HACK"
"Brinker International, Inc.",17,"Payer (Insurer)","BSR",500,"California",200003079,2018-05-18,"Security Breach Letter","HACK"
"Bombas, LLC",17,"Payer (Insurer)","BSO",41000,"California",200003080,2018-05-18,"Security Breach Letter","HACK"
"Hancock County Board of Developmental Disabilities",28,"Discharge Data","MED",607,"Ohio",200003046,2018-05-17,"US Department of Health and Human Services","DISC"
"211 LA County",35,"Other Government","NGO",3500000,"California",200003103,2018-05-17,"Media","DISC"
"Black Phoenix, Inc",17,"Payer (Insurer)","BSO",500,"California",200003081,2018-05-17,"Security Breach Letter","HACK"
"Corporation Service Company",17,"Payer (Insurer)","BSR",500,"California",200003082,2018-05-17,"Security Breach Letter","HACK"
"Sears Holdings Management Corporation",17,"Payer (Insurer)","BSR",500,"California",200003083,2018-05-17,"Security Breach Letter","HACK"
"Providence Saint John's Health Center",23,"Public Health","MED",500,"California",200003084,2018-05-16,"Security Breach Letter","HACK"
"LifeBridge Health, Inc",28,"Discharge Data","MED",538127,"Maryland",200003047,2018-05-15,"US Department of Health and Human Services","HACK"
"OrthoWest, Ltd.",28,"Discharge Data","MED",2300,"Ohio",200003048,2018-05-14,"US Department of Health and Human Services","DISC"
"Capitol Administrators, Inc",28,"Discharge Data","MED",1733,"California",200003050,2018-05-11,"US Department of Health and Human Services","HACK"
"New York City Human Resources Administration/Department of Social Services",23,"Public Health","MED",2078,"New York",200003049,2018-05-11,"US Department of Health and Human Services","DISC"
"Dignity Health St. Rose Dominican Hospitals - San Martin",28,"Discharge Data","MED",1764,"Nevada",200003051,2018-05-10,"US Department of Health and Human Services","DISC"
"Dignity Health St. Rose Dominican Hospitals - Siena",28,"Discharge Data","MED",2098,"Nevada",200003052,2018-05-10,"US Department of Health and Human Services","DISC"
"Dignity Health St. Rose Dominican Hospitals-DeLIma",28,"Discharge Data","MED",2174,"Nevada",200003053,2018-05-10,"US Department of Health and Human Services","DISC"
"Cambridge Dental Consulting Group",46,"Dental and Vision","MED",3758,"Nevada",200003054,2018-05-09,"US Department of Health and Human Services","DISC"
"Blue Beacon",17,"Payer (Insurer)","BSO",500,"California",200003038,2018-05-09,"Security Breach Letter","HACK"
"Dollar Shave Club, Inc.",17,"Payer (Insurer)","BSR",0,"California",200003039,2018-05-09,"Security Breach Letter","HACK"
"USACS Management Group, Ltd.",28,"Discharge Data","MED",15552,"Ohio",200003055,2018-05-08,"US Department of Health and Human Services","HACK"
