state,state_abbreviation,consent_authorization_policy,organization_launch_date,type_of_consent_policy,details_of_consent_policy,patient_notification_methods,additional_information,websites_and_publicly_available_resources,scope_of_consent_policy,source_of_consent_policy,source_of_consent_policy_url,state_involvement_in_creating_consent_policy_if_source_is_not_a_statute_regulation,statewide_applicability_y_n,applies_minimum_necessary_standard_to_treatment_disclosures,requires_authorization_for_one_or_more_tpo_disclosures_that_would_be_permitted_under_hipaa_without_authorization,citation_of_statute_or_regulation,citation_of_statute_or_regulation_url,narrative_description_of_state_law,definition_or_scope_of_information_material_covered_by_policy
Alabama,AL,state HIE consent policies,,Opt-Out,"Alabama Health Information Exchange, Policy and Procedures 15 (2012) - Alabama HIE Policy states that disclosures of PHI through One Health Record for purposes of treatment, payment and operations are permitted without patient authorization, but that patients have the right to opt-out from participating in the electronic sharing of his/her PHI through One Health Record. The decision to opt- out applies globally to all of the individual&apos;s PHI, but an individual cannot opt-out of disclosures of information that are required by law. Individuals can also revoke their opt-out decisions.",,,,Applies to all &quot;participants&quot; in state government-established HIE and participant providers have the burden of ensuring that patients are given the right to opt-out and maintain relevant documentation.,State Policy,http://onehealthrecord.alabama.gov/,"Policy was created by Alabama Health Information Advisory Commission, which is a voluntary effort chaired by the Alabama Medicaid Agency (as the state-designated entity). Compliance with and adherence to these policies and procedures will be monitored and enforced by the AHIE staff under the guidance of the Governing Authority.",N,,,,,,
Alaska,AK,state HIE consent policies,,Opt-Out,Alaska Stat. &sect; 18.23.310 - The statute requires that the Department of Health establish procedures to allow those individuals with health records in the HIE system to opt out of it.,,,,Applies to the HIE established by the Alaska Department of Health and Social Services.,Statute,http://www.legis.state.ak.us/basis/statutes.asp#18.23.310,,N,,,,,,
Arizona,AZ,state HIE consent policies,,Opt-Out,Ariz. Rev. Stat. &sect; 38-3802 requires that HIOs provide participating individuals a number of rights including the right to opt out.  Ariz. Rev. Stat. &sect; 38-3803 provides further detail on what an individual&apos;s right to opt out includes:  The individual has the right to opt out by providing notice to the HIO in the form the HIO requires; an individual also has the right to opt out of a particular provider sharing his/her PHI through the HIO; and an individual has the right to opt back in by providing notice to the HIO.,,,,"Applies to all HIOs, which are defined under Arizona law as &quot;organization[s] that oversee[] and govern[] the exchange of individually identifiable health information among organizations according to nationally recognized standards.&quot; The definition of HIO under AZ law excludes health plans, providers, and exchange between providers without the use of a separate organization governing the exchange. Ariz. Rev. Stat. &sect; 38-3801.",Statute,http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/36/03802.htm&Title=36&DocType=ARS,,Y,,,,,,
Arkansas,AR,state HIE consent policies,,Opt-Out,"Arkansas Office of Health Information Technology, OHIT Privacy Policies 10 (2013) - Arkansas OHIT policy gives all individuals the right to opt out of the SHARE system (the Arkansas state-run HIE). The policy states that the decision to opt out only affects the availability of PHI through SHARE, and that participating providers&apos; policies on sharing govern all other kinds of uses/disclosures. An individual also has the right to revoke his/her decision to opt out of SHARE. The policy allows participating entities to choose how to allow the patient to exercise his/her choice. If an individual&apos;s information is available through the SHARE system, the policy allows participating providers to assume that the individual has not opted out.",,,,Applies to all individuals participating in SHARE. Participating entities (healthcare providers) are required to find a way to give individuals the right to opt out.,State Policy,http://www.ohit.arkansas.gov/Websites/ohit/images/OHIT-Privacy-Policies-November-2013.pdf#page=10,"Policy was created by the Arkansas Office of Health Information Technology (OHIT), which developed and maintains the state-run HIE, SHARE.",N,,,,,,
California,CA,state HIE consent policies,,Opt-In,"California Office of Health Information Integrity, California&apos;s Statewide Health Information Policy Manual 193 (2016) - California&apos;s statewide health information policy manual requires that an agreement between an HIO and the entities it provides HIE services for must require that participating organizations obtain the appropriate authorization from the patient to allow the exchange of health information.  The policy manual defines &quot;authorization&quot; as &quot;a detailed document signed and dated by the patient that grants permission for the covered entity to use or disclose health information, for specified purposes.&quot;",,,,All HIOs operating in CA must include consent requirements in their agreements with participating providers.,State Policy,http://www.chhs.ca.gov/OHII/Documents/SHIPM_06-2016.pdf#page=66,"California State Health Information Policy Manual (SHIPM) developed by the state government entity, California Office of Health Information Integrity.",Y,,,,,,
Colorado,CO,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Connecticut,CT,state HIE consent policies,,Opt-Out,"Health Information Technology Exchange of Connecticut, Consumer Authorization and Consent Policy 3 (2011) - HITE-CT&apos;s consumer authorization and consent policy gives patients the option to opt out of having their PHI disclosed through HITE-CT.  If a patient has not opted out, HITE-CT will disclose all non-sensitive PHI for the purposes of treatment, payment and health care operations as permitted by HIPAA, unless the patient and provider have agreed upon a specific restriction on disclosure. Sensitive PHI is PHI that is &quot;subject to heightened confidentiality requirements in compliance with all federal and state laws as amended from time-to-time (HIV, substance abuse and mental health records).&quot; Patients must specifically authorize disclosures of sensitive PHI. A patient&apos;s opt-out of HITE-CT is global, which means that no PHI will be disclosed to any party by HITE-CT, except as required by law (such as public health reporting requirements, etc.). However, even if a patient has opted out, HITE-CT may allow for disclosures of PHI in emergency treatment situations, but such disclosures will be audited strictly to make sure that there was a legitimate emergency requiring disclosure.",,,,Applies to HITE-CT and to all persons and organizations who have access to HITE-CT managed health records.,State Policy,http://www.ct.gov/hitect/lib/hitect/hite-ct_consumer_authorization_&_consent_policy_v1.pdf#page=3,Health Information Technology Exchange of Connecticut (HITE-CT) is a nonprofit quasi-state agency.,N,,,,,,
Delaware,DE,state HIE consent policies,,Opt-Out,1-100-102 Del. Code Regs. &sect; 7.2 (2009) - DHIN regulations on participation gives patients the right to be informed of and the option of choosing to prohibit a search for their PHI in the DHIN Interchange upon consultation with their health care provider.,,Participation in DHIN by healthcare entities is voluntary.,,Applies to all individuals with health information in DHIN.,Regulation,http://regulations.delaware.gov/AdminCode/title1/100/102.shtml#TopOfPage,,N,,,,,,
Florida,FL,state HIE consent policies,,Opt-In,"Florida Health Information Network, Patient Authorization - FHIN&apos;s documents discussing patient authorization of exchange of health information in FL states that patients have to authorize both the search for and access to medical records. However, Florida allows exceptions to the rule requiring patient authorization in cases of medical emergency and when disclosure is required for public health reporting purposes.",,Additional details on how patient authorization works in Florida HIE are available  here.,http://fhin.net/floridaHie/docs/ConsumerInformation.pdf,Applies to all providers participating in Florida HIE.,State Policy,http://www.fhin.net/privacyRegulations/docs/PatientAuthorizationRule.pdf,"Florida HIE is run by the Agency of Health Care Administration, which provides guidance through the Florida Health Information Network.",Y,,,,,,
Georgia,GA,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
