FlowID,App,AppCategory,Category,Broad Category,Domain,Third_party,App_HOST,HOST1,HOST2,HOST3,HOST4
1,Amazon,Lifestyle,,,,,Amazon_,NA,,,
2,American Well,Medical,,,,,American Well_,NA,,,
3,eBay,Lifestyle,,,,,eBay_,NA,,,
4,Emoji Keyboard 2,Social,,,,,Emoji Keyboard 2_,NA,,,
5,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
6,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
7,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
8,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
9,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
10,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
11,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
12,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
13,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
14,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
15,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
16,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
17,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
18,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
19,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
20,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
21,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
22,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
23,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
24,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
25,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
26,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
27,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
28,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
29,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
30,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
31,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
32,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
33,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
34,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
35,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
36,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
37,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
38,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
39,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
40,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
41,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
42,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
43,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
44,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
45,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
46,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
47,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
48,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
49,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
50,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
51,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
52,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
53,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
54,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
55,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
56,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
57,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
58,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
59,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
60,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
61,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
62,Facebook,Social,Location,Location,facebook.com,,Facebook_facebook.com,graph,facebook,com,
