State,Breaches,Population,BreachesPerMillion
Alabama,45,4874747,9.231248309
Alaska,12,739795,16.22070979
Arizona,69,7016270,9.834285169
Arkansas,31,3004279,10.31861555
California,756,39536653,19.12149721
Colorado,76,5607154,13.55411319
Connecticut,58,3588184,16.16416549
Delaware,9,961939,9.356102622
Florida,212,20984400,10.10274299
Georgia,111,10429379,10.64301144
Hawaii,10,1427538,7.005067466
Idaho,10,1716943,5.824305175
Illinois,153,12802023,11.95123614
Indiana,96,6666818,14.39967313
Iowa,35,3145711,11.12626049
Kansas,31,2913123,10.64150055
Kentucky,62,4454189,13.91948119
Louisiana,28,4684333,5.977371805
Maine,14,1335907,10.47977142
Maryland,284,6052177,46.92526342
Massachusetts,102,6859819,14.86919699
Michigan,69,9962311,6.926103793
Minnesota,78,5576606,13.98700213
Mississippi,21,2984100,7.037297678
Missouri,70,6113532,11.45000959
Montana,14,1050493,13.32707595
Nebraska,12,1920076,6.249752614
Nevada,30,2998039,10.00654094
New Hampshire,20,1342795,14.89430628
New Jersey,68,9005644,7.550820352
New Mexico,24,2088070,11.49386754
New York,266,19849399,13.40090952
North Carolina,88,10273419,8.565794893
North Dakota,5,755393,6.619071133
Ohio,118,11658609,10.12127605
Oklahoma,35,3930864,8.90389492
Oregon,63,4142776,15.2071944
Pennsylvania,136,12805537,10.62040584
Rhode Island,21,1059639,19.81807012
South Carolina,32,5024369,6.368958968
South Dakota,7,869666,8.049067113
Tennessee,85,6715984,12.65637321
Texas,292,28304596,10.3163458
Utah,32,3101833,10.31648061
Vermont,7,623657,11.22411839
Virginia,89,8470020,10.50764933
Washington,104,7405743,14.04315543
West Virginia,8,1815857,4.405633263
Wisconsin,54,5795483,9.317601311
Wyoming,8,579315,13.80941284
